moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Irakkamam,28.724310357620766,33.834829875638995,1.5030066655573686,78.06204480665619,10.156061595884893,21.21689408832341
MOH-Ja-Ela,28.221595368964625,28.840301435191083,6.8931966549536305,80.82826146114779,1.4911199335559424,21.58643113943164
MOH-Jaffna,28.113813275396744,28.840301435191083,0.05180166841222127,78.06204480665619,1.697441822248953,20.766099611650056
MOH-Kahatagasdigiliya,28.465713767456045,34.67670758956089,0.3627741678004672,75.44146141301522,12.274158446676415,20.318214112025572
MOH-Kaduwela,30.117534677182405,34.234392150874825,6.271251656177139,72.38408014953116,8.258054263316527,20.623559736255384
MOH-Kahawatta,29.8805548315299,35.818356900478484,22.13084912497768,76.02379063100015,11.765237539708961,21.493052976162883
MOH-Kalawana,28.056403223692215,33.72065495549036,18.710151631706974,79.80913437331978,11.215110021280653,21.18877397685099
MOH-Kahathuduwa (Wethara),28.451336118780482,29.411076145365467,3.9907866606633355,79.5179697643273,2.151292211095827,21.40840174404074
MOH-Kalmunai South,29.104865604033467,31.822734148120148,0.2591166680043852,74.8591321950303,5.548527005506264,20.61357224838759
MOH-Kalmunai North,29.047455552328938,31.765596742761424,0.2591166680043852,74.8591321950303,5.548527005506264,20.57294353560503
MOH-Kalpitiya,28.235872474642456,29.56800422896434,0.5700891673926312,80.10029898231224,2.866535006756291,21.402389858139742
MOH-Kalutara,28.58777296670176,29.525251065514105,3.9907866606633355,79.5179697643273,2.110085599634974,21.511088633865885
MOH-Kalthota,25.93062262266084,32.065268449188295,31.04539410744073,74.71349893417967,12.095371817043693,18.32983133322071
MOH-Kaluwanchikudy,28.939673458761057,33.67780190147131,0.673746667188713,77.47971558867127,9.44081880022443,21.21611836111038
MOH-Kamburupitiya,29.119243252709033,34.89077307851849,23.478396622326745,78.49884267649928,11.43519953950381,21.62929006795167
MOH-Kandaketiya,27.55368823503607,32.94999921712924,0.46643166759654914,72.23844688868054,10.692421484783056,18.82988448792161
MOH-Kandawala,28.221595368964625,28.840301435191083,6.8931966549536305,80.82826146114779,1.4911199335559424,21.58643113943164
MOH-Kandy MC,27.244820146005733,34.3913202344737,0.984719166576959,68.59873640721155,14.062121020133203,17.677929576568747
MOH-Kanthale,28.32927691953477,34.4626421006033,0.05180166841222127,76.60622176169386,12.122907076103983,20.53396324315016
MOH-Karachchi/Kilinochchci,28.16408477426236,33.435267600403165,0.05180166841222127,77.47971558867127,10.458660614159337,20.64760727985938
MOH-Karainagar,28.113813275396744,28.840301435191083,0.05180166841222127,78.06204480665619,1.697441822248953,20.766099611650056
MOH-Karandeniya,28.55187911651171,29.168441953728507,5.027361658624155,81.84738854897581,1.4911199335559424,22.1150892351131
MOH-Karaithivu,29.104865604033467,31.822734148120148,0.2591166680043852,74.8591321950303,5.548527005506264,20.61357224838759
MOH-Karaveddy,28.824853355351994,32.621858698591815,0.05180166841222127,75.7326260220077,7.62532096770735,20.654103995268528
MOH-Karuwalagaswewa,28.508846713482743,31.12350016645744,0.881061666780877,78.20767806750682,5.342205116813253,21.09723816571319
MOH-Katana,28.221595368964625,28.840301435191083,6.8931966549536305,80.82826146114779,1.4911199335559424,21.58643113943164
MOH-Kataragama,29.629197337201827,34.83373556372858,3.368841661886844,73.25757397650855,10.34861585504776,20.534738970363193
MOH-Kathankudy,29.169514751574646,33.72065495549036,0.05180166841222127,75.7326260220077,9.083245540958988,20.901076146717664
MOH-Katupotha (Kuliyapitiya East),30.368892171510478,36.232203527054,5.338334158012401,76.89738637068633,11.627753798666676,22.095889986590553
MOH-Katuwana,27.883971982583155,33.50658946653276,45.453786579096125,78.93564054634237,11.132600521229365,20.82757599328286
MOH-Kayts,28.113813275396744,28.840301435191083,0.05180166841222127,78.06204480665619,1.697441822248953,20.766099611650056
MOH-Kebithigollewa,28.056403223692215,33.82054552429932,0.05180166841222127,77.1885509796788,11.40766428044352,20.49120128053176
MOH-Kegalle,30.13905087869689,36.68880331707974,8.44805915189486,73.9855364553441,12.948098353746444,21.096171540795268
MOH-Kekirawa,29.384978395712672,35.84682571258903,0.05180166841222127,71.80175093154624,12.769311724113724,19.959634207801425
MOH-Kelaniya,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Kesbewa,28.451336118780482,29.411076145365467,3.9907866606633355,79.5179697643273,2.151292211095827,21.40840174404074
MOH-Kinniya,28.077919425206698,33.948904905218825,0.05180166841222127,77.47971558867127,11.61398616913653,20.584482477898884
MOH-Kiran,29.018700254977805,34.5340638573017,0.05180166841222127,75.87825928285831,10.9400462620665,20.833103049675714
MOH-Kiriella,30.218077674913634,35.761219495119754,7.41148415393404,76.31495523999263,11.008788132587643,21.819246269242935
MOH-Kirinda-Puhulwella,28.666799762918505,34.448357749263614,23.478396622326745,78.49884267649928,11.448967169033955,21.293303218807083
MOH-Kobeigane,30.419163670376093,36.917153157377015,2.12495166433386,70.78262384371821,12.851821224165011,20.367957619561263
